,0
SK_ID_CURR,278180.51857657125
TARGET,0.08072881945686496
CNT_CHILDREN,0.4170517477423572
AMT_INCOME_TOTAL,168797.9192969845
AMT_CREDIT,599025.9997057016
AMT_ANNUITY,27108.573909183444
AMT_GOODS_PRICE,538396.2074288895
REGION_POPULATION_RELATIVE,0.020868112057780035
DAYS_BIRTH,-16036.995066843137
DAYS_EMPLOYED,63815.04590404896
DAYS_REGISTRATION,-4986.120327538419
DAYS_ID_PUBLISH,-2994.2023732484367
CNT_FAM_MEMBERS,2.152665450442101
HOUR_APPR_PROCESS_START,12.063418869568894
EXT_SOURCE_2,0.5143926741308462
EXT_SOURCE_3,0.5108529061799658
YEARS_BEGINEXPLUATATION_AVG,0.9777348581623325
FLOORSMAX_AVG,0.22628190703665588
YEARS_BEGINEXPLUATATION_MODE,0.9770653729429093
FLOORSMAX_MODE,0.2223150474784939
YEARS_BEGINEXPLUATATION_MEDI,0.9777522640694839
FLOORSMAX_MEDI,0.22589659009262678
TOTALAREA_MODE,0.10254666268544127
OBS_30_CNT_SOCIAL_CIRCLE,1.4222454239942575
DEF_30_CNT_SOCIAL_CIRCLE,0.1434206662533851
OBS_60_CNT_SOCIAL_CIRCLE,1.4052921791901856
DEF_60_CNT_SOCIAL_CIRCLE,0.10004894123788705
DAYS_LAST_PHONE_CHANGE,-962.8587883320868
AMT_REQ_CREDIT_BUREAU_HOUR,0.006402448193930645
AMT_REQ_CREDIT_BUREAU_DAY,0.0070002105326475985
AMT_REQ_CREDIT_BUREAU_WEEK,0.0343619356973142
AMT_REQ_CREDIT_BUREAU_MON,0.26739526000781977
AMT_REQ_CREDIT_BUREAU_QRT,0.26547414959848414
AMT_REQ_CREDIT_BUREAU_YEAR,1.899974435321363
